AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Bhuvanagiri,157,GEN,Cuddalore,Arunmozhithevan. A,All India Anna Dravida Munnetra Kazhagam,244178,196107,80.3 %,8259,4.2%
Bodinayakanur,200,GEN,Theni,O.Panneerselvam,All India Anna Dravida Munnetra Kazhagam,265296,213392,80.4 %,11021,5.2%
Chengalpattu,32,GEN,Kancheepuram,Varalakshmi.M,Dravida Munetra Kazhagam,397706,271012,68.1 %,26665,9.8%
Chengam,62,SC,Tiruvannamalai,Giri.M.P,Dravida Munetra Kazhagam,263132,222865,84.7 %,11570,5.2%
Chepauk-Thiruvallikeni,19,GEN,Chennai,Udhayanidhi Stalin,Dravida Munetra Kazhagam,226272,135344,59.8 %,69355,51.2%
Cheyyar,68,GEN,Tiruvannamalai,Jothi. O,Dravida Munetra Kazhagam,249307,212565,85.3 %,12271,5.8%
Cheyyur,34,SC,Kancheepuram,Babu M,Viduthalai Chiruthaigal Katchi,216506,177979,82.2 %,4042,2.3%
Chidambaram,158,GEN,Cuddalore,K.A. Pandian,All India Anna Dravida Munnetra Kazhagam,239757,182150,76.0 %,16937,9.3%
Coimbatore (North),118,GEN,Coimbatore,Amman K.Arjunan,All India Anna Dravida Munnetra Kazhagam,318780,201098,63.1 %,4001,2.0%
Coimbatore (South),120,GEN,Coimbatore,Vanathi Srinivasan,Bharatiya Janta Party,244922,153864,62.8 %,1728,1.1%
Colachal,231,GEN,Kanniyakumari,Prince J.G.,Indian National Congress,254691,182091,71.5 %,24832,13.6%
Coonoor,110,GEN,The Nilgiris,Ramachandran K.,Dravida Munetra Kazhagam,186493,134720,72.2 %,4105,3.0%
Cuddalore,155,GEN,Cuddalore,G.Iyappan,Dravida Munetra Kazhagam,227937,180765,79.3 %,5151,2.8%
Cumbum,201,GEN,Theni,N.Ramakrishnan,Dravida Munetra Kazhagam,274002,200616,73.2 %,42413,21.1%
Dharapuram,101,SC,Erode,Kayalvizhi N,Dravida Munetra Kazhagam,251040,192088,76.5 %,1393,0.7%
Dharmapuri,59,GEN,Dharmapuri,Venkateshwaran.S.P.,Pattali Makkal Katchi,256946,215607,83.9 %,26860,12.5%
Dindigul,132,GEN,Dindigul,Sreenivasan.C,All India Anna Dravida Munnetra Kazhagam,261916,193311,73.8 %,17747,9.2%
Dr.Radhakrishnan Nagar,11,GEN,Chennai,Ebenezer. J.J. (@)  JOHN EBENEZER.J,Dravida Munetra Kazhagam,248518,185323,74.6 %,42479,22.9%
Edappadi,86,GEN,Salem,Edappadi Palaniswami. K,All India Anna Dravida Munnetra Kazhagam,274079,246192,89.8 %,93802,38.1%
Egmore,16,SC,Chennai,I.Paranthamen,Dravida Munetra Kazhagam,181071,118095,65.2 %,38768,32.8%
Erode (East),98,GEN,Erode,Thirumahan Everaae.,Indian National Congress,218783,150491,68.8 %,8904,5.9%
Erode (West),99,GEN,Erode,Muthusamy S,Dravida Munetra Kazhagam,272477,203611,74.7 %,22089,10.8%
Gandarvakkottai,178,SC,Pudukkottai,M.Chinnadurai,Communist Party Of India (Marxist),191615,156230,81.5 %,12721,8.1%
Gangavalli,81,SC,Salem,Nallathambia.,All India Anna Dravida Munnetra Kazhagam,228181,185252,81.2 %,7361,4.0%
Gingee,70,GEN,Viluppuram,Masthan K S,Dravida Munetra Kazhagam,253786,204601,80.6 %,35803,17.5%
